MachineId,DateCreated,LogContent
4,2024-11-03 17:12:37,WPS3800 1.0.0.1 Rev 1 is running as Operator
4,2024-11-03 17:12:42,Application start with Operator password
4,2024-11-03 17:12:52,Initialize machine
4,2024-11-03 17:12:55,Auto Detect LP3
4,2024-11-03 17:12:55,"Auto Detect LP3, current InputPort1 port value: 47"
4,2024-11-03 17:13:52,WPS3800 1.0.0.0 Rev 1 is running as Operator
4,2024-11-03 17:18:00,Accessing Hardware Manager Setup
4,2024-11-03 17:18:13,Hardware Manager Setup closed
4,2024-11-03 17:18:16,Accessing Options Setting
4,2024-11-03 17:18:21,Options Setting closed
4,2024-11-03 17:18:22,Accessing Recipe Setting.
4,2024-11-03 17:18:23,Recipe Setting closed.
4,2024-11-03 17:18:24,Accessing OEM setup.
4,2024-11-03 17:18:35,OEM setup closed.
4,2024-11-04 23:40:31,Accessing Diagnosis.
4,2024-11-04 23:40:35,Diagnosis closed.
4,2024-11-05 17:46:53,"Carrier LP1, Error Clear send command: SET:RSET;"
4,2024-11-05 17:46:53,"Carrier LP1, Error Clear data receive: [SOH]0000SET:RSET;5F[CR][SOH]0000INF:RSET;50[CR]"
4,2024-11-05 17:46:55,"Carrier LP1, Clamp On send command: MOV:FCCL;"
4,2024-11-05 17:46:55,"Carrier LP1, Clamp On data receive: [SOH]0400MOV:FCCL/10;D3[CR]"
4,2024-11-05 17:46:55,"Carrier LP1, Clamp On interlock: (10) No carrier mounting"
4,2024-11-05 17:47:04,Cassette removed at LP2
4,2024-11-05 17:47:05,"Carrier LP2, Set FOUP Light OperatorAccess1 to LightOff send command: SET:LOSW;"
4,2024-11-05 17:47:05,"Carrier LP2, Set FOUP Light OperatorAccess1 to LightOff data receive: [SOH]0000SET:LOSW;66[CR][SOH]0000INF:LOSW;57[CR]"
4,2024-11-05 17:47:10,"Carrier LP1, Clamp On data receive: [SOH]0000MOV:FCCL;3F[CR]"
4,2024-11-05 17:47:10,"Carrier LP1, Clamp On data receive: [SOH]0000INF:FCCL;2A[CR]"
4,2024-11-05 17:47:12,"Carrier LP1, Dock On send command: MOV:Y_FW;"
4,2024-11-05 17:47:12,"Carrier LP1, Dock On data receive: [SOH]0000MOV:Y_FW;7C[CR]"
4,2024-11-05 17:47:14,"Carrier LP1, Dock On data receive: [SOH]0000INF:Y_FW;67[CR]"
4,2024-11-05 17:47:16,Cassette removed at LP1
4,2024-11-05 17:47:17,"Carrier LP1, Set FOUP Light OperatorAccess1 to LightOff send command: SET:LOSW;"
4,2024-11-05 17:47:17,"Carrier LP1, Set FOUP Light OperatorAccess1 to LightOff data receive: [SOH]0000SET:LOSW;66[CR][SOH]0000INF:LOSW;57[CR]"
4,2024-11-05 17:47:38,"Carrier LP2, Clamp On send command: MOV:FCCL;"
